feature,importance,method
precip_hours,0.13423801236857819,mean(|SHAP|)
pct_small_diam,0.07126919374017886,mean(|SHAP|)
rain_mm,0.05368051502585665,mean(|SHAP|)
river_sewer_overlap_km,0.04794191884693679,mean(|SHAP|)
river_len_km,0.04672958366551322,mean(|SHAP|)
weaksewer_x_heavy,0.039875720948477605,mean(|SHAP|)
heavy_days,0.03876031675815453,mean(|SHAP|)
area_km2,0.03233177914465914,mean(|SHAP|)
river_density,0.030463623733990374,mean(|SHAP|)
sewer_len_km,0.02348462863475765,mean(|SHAP|)
sewer_age,0.022353623438250637,mean(|SHAP|)
mean_install_year,0.022172504213374505,mean(|SHAP|)
sewer_density,0.021611829009074806,mean(|SHAP|)
river_x_heavy,0.021304852929068707,mean(|SHAP|)
riveroverlap_x_heavy,0.02037299339742957,mean(|SHAP|)
mean_diameter,0.018329282088229447,mean(|SHAP|)
precip_mm,0.018209731705660755,mean(|SHAP|)
pct_old_sewer,0.017841445250729282,mean(|SHAP|)
weak_sewer_km,0.012995817847931104,mean(|SHAP|)
river_x_weaksewer,0.005539831574113847,mean(|SHAP|)
