ward_num,ward_name,susceptibility
7,Humber River-Black Creek,232.59631921096792
6,York Centre,310.6443580368805
18,Willowdale,217.61709337143412
11,University-Rosedale,283.85641637551095
19,Beaches-East York,392.7243067042509
20,Scarborough Southwest,332.43665329296056
25,Scarborough-Rouge Park,170.33463749627464
23,Scarborough North,132.40334304446517
24,Scarborough-Guildwood,200.8954115197812
21,Scarborough Centre,292.58594052747713
22,Scarborough-Agincourt,142.3594197958151
15,Don Valley West,348.0838507320107
12,Toronto-St. Paul's,264.93149806285305
4,Parkdale-High Park,234.53126400200622
1,Etobicoke North,189.48240532776856
3,Etobicoke-Lakeshore,319.7565448041937
2,Etobicoke Centre,258.1657277792082
8,Eglinton-Lawrence,428.4164758218296
17,Don Valley North,224.3264639489483
16,Don Valley East,292.04940467602654
9,Davenport,287.93555373947925
13,Toronto Centre,144.5216708109982
5,York South-Weston,462.19220781886804
14,Toronto-Danforth,327.5682346862701
10,Spadina-Fort York,168.06467511928386
