year,precip_mm,rain_mm,snow_cm,heavy_days,precip_hours
1960,693.2,538.1,108.57,1,1361.0
1961,661.1,521.0,98.07,0,1265.0
1962,791.7,644.5,103.11,4,1300.0
1963,579.1,466.1,79.1,4,1150.0
1964,750.9,641.5,76.58,4,1183.0
1965,721.3,561.2,112.14,2,1371.0
1966,725.7,614.3,77.98,1,1354.0
1967,832.3,704.4,89.6,3,1517.0
1968,754.9,609.7,101.71000000000001,0,1435.0
1969,678.6,587.0,64.12,2,1250.0
1970,830.1,680.4,104.92999999999999,1,1496.0
1971,655.5,513.8,99.26,2,1336.0
1972,892.5,704.0,132.02,0,1625.0
1973,908.6,774.1,94.22,5,1551.0
1974,820.2,682.5,96.46000000000001,2,1523.0
1975,780.8,612.6,117.74,4,1379.0
1976,816.7,656.1,112.49000000000001,3,1480.0
1977,976.0,814.7,112.91,5,1474.0
1978,760.2,600.3,112.0,0,1417.0
1979,840.0,719.3,92.12,2,1212.0
1980,821.5,729.4,71.89,5,1127.0
1981,796.8,709.7,67.83,2,1195.0
1982,905.1,737.4,125.36999999999999,0,1254.0
1983,923.8,801.1,91.91,1,1167.0
1984,762.9,644.4,90.44,3,1110.0
1985,892.9,713.6,136.57,2,1379.0
1986,863.7,754.0,84.49,3,1084.0
1987,732.6,619.9,83.72,2,1050.0
1988,701.0,622.2,60.83,4,963.0
1989,717.3,625.6,74.62,2,1097.0
1990,939.3,827.7,81.83,7,1175.0
1991,700.9,583.3,91.28,1,1081.0
1992,958.1,845.2,85.05,7,1242.0
1993,758.5,642.4,89.11,1,1187.0
1994,704.3,555.7,110.74,2,1048.0
1995,808.6999999999999,703.6999999999999,81.34,4,1139.0
1996,1008.4,883.2,87.78,5,1734.0
1997,769.3,603.5,123.34,2,1110.0
1998,753.3,654.5,74.06,4,1031.0
1999,712.2,566.6,106.4,2,944.0
2000,763.6,635.9,96.6,2,1163.0
2001,736.8,650.7,66.08,2,1097.0
2002,676.1,563.3,85.47,0,1059.0
2003,836.8,718.4,89.88,2,1199.0
2004,846.9,726.4,92.61,4,1192.0
2005,733.1,548.6,137.34,2,1130.0
2006,866.4,831.5,29.82,5,1171.0
2007,581.4,442.6,106.05,0,990.0
2008,1055.5,802.5,184.59,2,1373.0
2009,806.2,700.0,81.55,3,1082.0
2010,709.2,666.8,40.25,2,951.0
2011,870.3,741.3,98.0,2,1257.0
2012,734.3,648.8,63.98,3,1064.0
2013,872.0,733.4,106.26,7,1176.0
2014,788.9,654.3,103.11,2,1171.0
2015,727.0,645.8,62.160000000000004,3,953.0
2016,670.0,533.0,104.37,1,1054.0
2017,945.0,839.4,73.99,1,1497.0
2018,1011.5,916.6,66.57000000000001,2,1560.0
2019,984.2,823.4,112.63,2,1574.0
2020,793.9,647.5,102.55,1,1413.0
2021,873.8,765.8,75.74,2,1421.0
2022,867.7,699.7,118.02,4,1197.0
